rowid,inputstate,res_division,votereg,birthyr,age5,CHOICE20_1,CHOICE20_2,CHOICE20_3,CHOICE20_4,CHOICE20_5,CHOICE20_6,CHOICE20_7,CHOICE20_8,CHOICE20_9,CHOICE20_10,CHOICE20_11,CHOICE20_12,CHOICE20_13,CHOICE20_14,CHOICE20_15,CHOICE20_16,CHOICE20_17,CHOICE20_18,CHOICE20_19,CHOICE20_20,CHOICE20_21,CHOICE20_22,CHOICE20_23,CHOICE20_24,CHOICE20_25,CHOICE20_26,CHOICE20_27,RANK20_1,RANK20_2,RANK20_3,RANK20_4,RANK20_5,RANK20_6,RANK20_7,RANK20_8,RANK20_9,RANK20_10,RANK20_11,RANK20_12,RANK20_13,RANK20_14,RANK20_15,RANK20_16,RANK20_17,RANK20_18,RANK20_19,RANK20_20,RANK20_21,RANK20_22,RANK20_23,RANK20_24,RANK20_25,RANK20_26,ANTICHOICE20_1,ANTICHOICE20_2,ANTICHOICE20_3,ANTICHOICE20_4,ANTICHOICE20_5,ANTICHOICE20_6,ANTICHOICE20_7,ANTICHOICE20_8,ANTICHOICE20_9,ANTICHOICE20_10,ANTICHOICE20_11,ANTICHOICE20_12,ANTICHOICE20_13,ANTICHOICE20_14,ANTICHOICE20_15,ANTICHOICE20_16,ANTICHOICE20_17,ANTICHOICE20_18,ANTICHOICE20_19,ANTICHOICE20_20,ANTICHOICE20_21,ANTICHOICE20_22,ANTICHOICE20_23,ANTICHOICE20_24,ANTICHOICE20_25,ANTICHOICE20_26,ANTICHOICE20_27,ANTIGEN20_1_resp,ANTIGEN20_2_resp,ANTIGEN20_3_resp,ANTIGEN20_4_resp,ANTIGEN20_5_resp,ANTIGEN20_6_resp,ANTIGEN20_7_resp,ANTIGEN20_8_resp,ANTIGEN20_9_resp,ANTIGEN20_10_resp,ANTIGEN20_11_resp,ANTIGEN20_12_resp,ANTIGEN20_13_resp,ANTIGEN20_14_resp,ANTIGEN20_15_resp,ANTIGEN20_16_resp,ANTIGEN20_17_resp,ANTIGEN20_18_resp,ANTIGEN20_19_resp,ANTIGEN20_20_resp,ANTIGEN20_21_resp,ANTIGEN20_22_resp,ANTIGEN20_23_resp,ANTIGEN20_24_resp,ANTIGEN20_25_resp,ANTIGEN20_26_resp,cand_allocator_col_1,cand_allocator_wom_1,cand_allocator_yng_1,cand_allocator_m4a_1,cand_allocator_abt_1,cand_allocator_ira_1,cand_allocator_rep_1,cand_allocator_fp_1,cand_allocator_exp_1,cand_allocator_leg_1,cand_allocator_ice_1,cand_allocator_env_1,cand_allocator_min_1,cand_allocator_rur_1,cand_allocator_tax_1,cand_allocator_cha_1,cand_allocator_con_1,djtelect,app_dtrmp,turnout16,presvote16post,presvote16post_t,turnout18post,housevote18post,housevote18post_t,pid3,pid3_t,pid7,pid3_condensed,ideo5,ideo3,pp18_polactions_1,pp18_polactions_2,pp18_polactions_3,pp18_polactions_4,pp18_polactions_5,pp18_polactions_6,pp18_polactions_7,pp18_polactions_8,pp18_polactions_t,state_election_type,primaryvote,partyvote,gender,educ,educ4,educ2,race,race_t,race4,race3,race2,hispanic,anychild,child18,marstat,urbancity,urbancity_t,faminc_new,employ,job,union_combined_1,union_combined_5,union_combined_2,union_combined_6,union_combined_3,union_combined_4,newsint,religpew,religpew_t,pew_bornagain,pew_churatd,faminc5,weight
1,39,3,1,1990,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,5,,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,,,1,1,1,,1,0,0,8,52,37,0,0,0,0,0,0,3,0,0,0,0,0,2,4,1,3,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,2,2,2,1,2,2,2,__NA__,2,1,1,1,5,3,2,1,__NA__,1,1,1,2,1,1,1,2,__NA__,13,1,__NA__,2,2,2,2,1,2,1,7,__NA__,2,6,5,1.45
2,51,5,1,1962,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,,2,,2,,,,,2,,2,,2,,,,2,,,,,,,0,0,0,0,3,22,3,31,0,0,0,0,0,18,0,3,20,1,1,1,2,__NA__,1,2,__NA__,3,__NA__,4,3,4,3,2,2,2,2,2,2,2,1,__NA__,2,1,1,1,3,2,1,1,__NA__,1,1,1,2,1,1,1,2,__NA__,11,1,__NA__,2,2,2,2,1,2,1,1,__NA__,2,5,4,0.678
3,48,7,1,1969,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,7,__NA__,2,,__NA__,1,__NA__,2,1,3,2,2,2,2,2,1,2,2,2,__NA__,2,3,3,2,4,2,1,3,__NA__,3,3,2,1,1,1,1,1,__NA__,7,2,__NA__,2,2,2,2,1,2,2,1,__NA__,1,2,3,0.3814
4,53,9,1,1970,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,1,,4,,,2,,,,,,,,,3,,,,,,,,,,,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,,,,,,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,0,0,20,20,0,0,0,0,0,20,20,10,0,10,0,0,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,2,2,2,2,2,2,1,__NA__,2,1,1,1,2,1,1,1,__NA__,1,1,1,2,1,2,6,2,__NA__,4,1,__NA__,2,2,2,2,1,2,1,9,__NA__,2,6,2,1.388
5,2,9,1,1975,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,__NA__,1,2,__NA__,3,__NA__,4,3,3,2,2,2,2,2,1,2,2,2,__NA__,1,2,3,1,6,4,2,6,__NA__,4,1,2,2,1,1,1,4,__NA__,6,6,__NA__,2,2,2,2,1,2,2,11,__NA__,2,5,2,1.4393
6,12,5,1,1978,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,,3,,3,3,3,,,,,3,3,,,,,3,,,,,,,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1,4,1,1,__NA__,1,2,__NA__,2,__NA__,7,2,4,3,2,2,2,2,2,2,2,1,__NA__,2,1,1,2,6,4,2,1,__NA__,1,1,1,2,1,1,1,2,__NA__,13,1,__NA__,2,2,2,2,1,2,1,5,__NA__,2,6,5,0.9528
7,26,3,1,1958,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,6,2,5,3,2,2,2,2,1,1,2,2,__NA__,2,1,2,1,5,3,2,1,__NA__,1,1,1,2,1,2,1,2,__NA__,10,1,__NA__,2,2,2,2,1,2,1,1,__NA__,1,1,4,0.9219
8,36,2,1,1987,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,3,,,1,,,,,,,,,2,,,,,,,,,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,3,,,,,,,,,,,,,,,,0,19,15,25,10,0,0,0,0,0,14,0,17,0,0,0,0,2,3,1,2,__NA__,1,3,__NA__,1,__NA__,2,1,2,1,2,2,1,2,1,2,2,2,__NA__,2,2,1,2,3,2,1,1,__NA__,1,1,1,2,1,1,1,1,__NA__,2,2,__NA__,2,2,2,2,1,2,2,1,__NA__,2,3,1,1.3401
9,37,5,1,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,6,__NA__,1,1,__NA__,1,__NA__,2,1,3,2,2,2,2,2,2,2,2,1,__NA__,2,1,1,1,5,3,2,1,__NA__,1,1,1,2,2,2,5,2,__NA__,8,1,__NA__,2,2,2,2,1,2,2,1,__NA__,2,6,3,0.4831
10,24,5,1,1996,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,1,,3,,,,,,,,,,,2,,,,,,,,,,,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,9,10,10,10,8,7,0,8,8,8,22,0,0,0,0,0,0,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,2,1,2,2,2,2,1,2,2,2,__NA__,2,2,1,2,5,3,2,2,__NA__,2,2,2,2,2,2,5,2,__NA__,5,2,__NA__,2,2,2,2,2,1,2,11,__NA__,1,2,2,1.8065
