,,Donald Trump or Joe Biden?,,,,,,Donald Trump or Beto O’Rourke?,,,,,,Donald Trump or Bernie Sanders?,,,,,,Donald Trump or Kamala Harris?,,,,,,Donald Trump or Elizabeth Warren?,,,,,,Donald Trump or Pete Buttigieg?,,,,,
,,Donald Trump,,Joe Biden,,Total,,Donald Trump,,Beto O’Rourke,,Total,,Donald Trump,,Bernie Sanders,,Total,,Donald Trump,,Kamala Harris,,Total,,Donald Trump,,Elizabeth Warren,,Total,,Donald Trump,,Pete Buttigieg,,Total,
,,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %
Democrat Primary,Kamala Harris,5,11.4%,40,88.6%,45,100.0%,5,11.4%,40,88.6%,45,100.0%,5,11.4%,40,88.6%,45,100.0%,8,17.2%,37,82.8%,45,100.0%,8,17.2%,37,82.8%,45,100.0%,5,11.4%,40,88.6%,45,100.0%
,Pete Buttigieg,3,7.9%,30,92.1%,32,100.0%,1,4.6%,31,95.4%,32,100.0%,3,8.6%,29,91.4%,32,100.0%,1,4.6%,31,95.4%,32,100.0%,2,6.0%,30,94.0%,32,100.0%,1,2.2%,31,97.8%,32,100.0%
,Bernie Sanders,10,9.1%,97,90.9%,107,100.0%,15,13.6%,92,86.4%,107,100.0%,5,4.3%,102,95.7%,107,100.0%,11,10.2%,96,89.8%,107,100.0%,12,11.0%,95,89.0%,107,100.0%,12,11.3%,95,88.7%,107,100.0%
,Elizabeth Warren,2,5.2%,40,94.8%,42,100.0%,3,6.8%,39,93.2%,42,100.0%,3,6.8%,39,93.2%,42,100.0%,2,5.2%,40,94.8%,42,100.0%,3,6.8%,39,93.2%,42,100.0%,3,6.8%,39,93.2%,42,100.0%
,Joe Biden,4,2.7%,136,97.3%,140,100.0%,8,5.4%,132,94.6%,140,100.0%,6,4.0%,134,96.0%,140,100.0%,10,7.0%,130,93.0%,140,100.0%,9,6.8%,130,93.2%,140,100.0%,12,8.7%,128,91.3%,140,100.0%
,Beto O’Rourke,1,9.4%,11,90.6%,13,100.0%,1,9.4%,11,90.6%,13,100.0%,1,9.4%,11,90.6%,13,100.0%,3,23.8%,10,76.2%,13,100.0%,3,23.8%,10,76.2%,13,100.0%,3,23.8%,10,76.2%,13,100.0%
,Michael Bennet,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%
,Andrew Yang,3,60.1%,2,39.9%,5,100.0%,4,82.9%,1,17.1%,5,100.0%,1,22.8%,4,77.2%,5,100.0%,3,60.1%,2,39.9%,5,100.0%,3,60.1%,2,39.9%,5,100.0%,4,82.9%,1,17.1%,5,100.0%
,Mike Gravel,1,22.6%,3,77.4%,4,100.0%,1,22.6%,3,77.4%,4,100.0%,1,22.6%,3,77.4%,4,100.0%,1,22.6%,3,77.4%,4,100.0%,1,22.6%,3,77.4%,4,100.0%,1,22.6%,3,77.4%,4,100.0%
,Amy Klobuchar,,17.6%,2,82.4%,3,100.0%,,17.6%,2,82.4%,3,100.0%,,17.6%,2,82.4%,3,100.0%,,17.6%,2,82.4%,3,100.0%,,17.6%,2,82.4%,3,100.0%,,17.6%,2,82.4%,3,100.0%
,Cory Booker,1,25.5%,2,74.5%,3,100.0%,1,25.5%,2,74.5%,3,100.0%,2,70.9%,1,29.1%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,1,25.5%,2,74.5%,3,100.0%,1,25.5%,2,74.5%,3,100.0%
,Kirsten Gillibrand,2,27.4%,6,72.6%,8,100.0%,2,27.4%,6,72.6%,8,100.0%,2,27.4%,6,72.6%,8,100.0%,2,27.4%,6,72.6%,8,100.0%,2,27.4%,6,72.6%,8,100.0%,2,27.4%,6,72.6%,8,100.0%
,Seth Moulton,1,38.4%,1,61.6%,2,100.0%,1,38.4%,1,61.6%,2,100.0%,1,38.4%,1,61.6%,2,100.0%,1,38.4%,1,61.6%,2,100.0%,1,38.4%,1,61.6%,2,100.0%,1,38.4%,1,61.6%,2,100.0%
,Julian Castro,2,26.5%,6,73.5%,9,100.0%,2,26.5%,6,73.5%,9,100.0%,2,26.5%,6,73.5%,9,100.0%,0,0.0%,9,100.0%,9,100.0%,1,15.5%,7,84.5%,9,100.0%,5,54.2%,4,45.8%,9,100.0%
