,,Donald Trump or Joe Biden?,,,,,,Donald Trump or Beto O’Rourke?,,,,,,Donald Trump or Bernie Sanders?,,,,,,Donald Trump or Kamala Harris?,,,,,,Donald Trump or Elizabeth Warren?,,,,,,Donald Trump or Pete Buttigieg?,,,,,,
,,Donald Trump,,Joe Biden,,Total,,Donald Trump,,Beto O’Rourke,,Total,,Donald Trump,,Bernie Sanders,,Total,,Donald Trump,,Kamala Harris,,Total,,Donald Trump,,Elizabeth Warren,,Total,,Donald Trump,,Pete Buttigieg,,Total,,
,,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,
"Of the following Democratic candidates for President, who would you be most likely to support?",Beto O’Rourke,1,2.1%,28,97.9%,29,100.0%,3,9.3%,26,90.7%,29,100.0%,3,9.3%,26,90.7%,29,100.0%,4,14.4%,25,85.6%,29,100.0%,3,11.6%,26,88.4%,29,100.0%,2,8.3%,27,91.7%,29,100.0%,
,Pete Buttigieg,1,4.0%,31,96.0%,32,100.0%,1,2.6%,31,97.4%,32,100.0%,0,0.0%,32,100.0%,32,100.0%,3,8.1%,29,91.9%,32,100.0%,3,9.3%,29,90.7%,32,100.0%,,1.2%,32,98.8%,32,100.0%,
,Bernie Sanders,16,15.1%,88,84.9%,103,100.0%,19,18.3%,84,81.7%,103,100.0%,5,4.9%,98,95.1%,103,100.0%,17,16.6%,86,83.4%,103,100.0%,27,26.1%,76,73.9%,103,100.0%,22,21.4%,81,78.6%,103,100.0%,
,Elizabeth Warren,3,11.9%,21,88.1%,24,100.0%,1,5.5%,23,94.5%,24,100.0%,1,5.5%,23,94.5%,24,100.0%,1,3.7%,23,96.3%,24,100.0%,3,11.9%,21,88.1%,24,100.0%,1,3.7%,23,96.3%,24,100.0%,
,Joe Biden,9,10.3%,76,89.7%,85,100.0%,9,10.4%,76,89.6%,85,100.0%,12,13.8%,73,86.2%,85,100.0%,11,12.6%,74,87.4%,85,100.0%,13,15.5%,72,84.5%,85,100.0%,12,13.8%,73,86.2%,85,100.0%,
,Kamala Harris,1,2.2%,27,97.8%,27,100.0%,1,2.2%,27,97.8%,27,100.0%,1,2.2%,27,97.8%,27,100.0%,1,2.2%,27,97.8%,27,100.0%,1,2.2%,27,97.8%,27,100.0%,1,2.2%,27,97.8%,27,100.0%,
,Amy Klobuchar,2,48.8%,2,51.2%,4,100.0%,1,38.1%,2,61.9%,4,100.0%,2,48.8%,2,51.2%,4,100.0%,1,38.1%,2,61.9%,4,100.0%,2,48.8%,2,51.2%,4,100.0%,2,48.8%,2,51.2%,4,100.0%,
,Mike Gravel,3,82.0%,1,18.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,0,0.0%,3,100.0%,3,100.0%,
,Kirsten Gillibrand,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,
,Tulsi Gabbard,2,73.8%,1,26.2%,3,100.0%,2,73.8%,1,26.2%,3,100.0%,2,73.8%,1,26.2%,3,100.0%,2,73.8%,1,26.2%,3,100.0%,2,55.1%,1,44.9%,3,100.0%,2,55.1%,1,44.9%,3,100.0%,
,Cory Booker,2,41.8%,3,58.2%,6,100.0%,2,41.8%,3,58.2%,6,100.0%,2,41.8%,3,58.2%,6,100.0%,2,41.8%,3,58.2%,6,100.0%,2,41.8%,3,58.2%,6,100.0%,2,41.8%,3,58.2%,6,100.0%,
,Andrew Yang,3,36.6%,6,63.4%,10,100.0%,3,32.8%,6,67.2%,10,100.0%,4,45.1%,5,54.9%,10,100.0%,5,49.0%,5,51.0%,10,100.0%,4,44.3%,5,55.7%,10,100.0%,4,37.9%,6,62.1%,10,100.0%,
,John Delaney,1,53.4%,1,46.6%,2,100.0%,1,30.2%,1,69.8%,2,100.0%,1,30.2%,1,69.8%,2,100.0%,1,30.2%,1,69.8%,2,100.0%,1,30.2%,1,69.8%,2,100.0%,1,30.2%,1,69.8%,2,100.0%,
,Jay Inslee,1,50.3%,1,49.7%,1,100.0%,1,50.3%,1,49.7%,1,100.0%,1,50.3%,1,49.7%,1,100.0%,1,50.3%,1,49.7%,1,100.0%,1,50.3%,1,49.7%,1,100.0%,1,50.3%,1,49.7%,1,100.0%,
